annotations_ambiguous,annotations_figurative,annotations_literal,error,idiom,intended_ambiguous,intended_ambiguous_retrial,intended_figurative,intended_figurative_retrial,intended_literal,intended_literal_retrial,iter,maxvote - for sort,maxvote_ambiguous,maxvote_figurative,maxvote_literal,meaning,not_found,well_formed
"['ambiguous', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,back to the drawing board,We went back to the drawing board,<going back to the drawing board>,We went back to the drawing board after finding out the new regulations,"after the failed presentation, we were <going back to the drawing board> to revise our strategy",We went back to the drawing board as we needed a fresh start,the architect realized he made a mistake and was <going back to the drawing board> to fix it,0.0,figurative : figurative : figurative,figurative,figurative,figurative,back to the planning stage,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'ambiguous', 'figurative']","['literal', 'ambiguous', 'literal']",False,back to the salt mines,Time to go back to the salt mines,<going back to the salt mines>,Time to go back to the salt mines and get to work,"after a relaxing vacation, it's time for <going back to the salt mines> and working hard",Time to go back to the salt mines as the job requires it,the miners finished their lunch break and were <going back to the salt mines> to continue their work,0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,"resume work, usually with some reluctance",False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,backroom boy(s),He is one of the backroom boys,,"He is one of the backroom boys, quietly involved in decision-making processes",,"He is one of the backroom boys, spending time in the office at the back of the building",,,ambiguous : figurative : literal,ambiguous,figurative,literal,people who work in anonymity,False,True
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,bad blood,There is bad blood between them,<there's bad blood between them>,There is bad blood between them because of the unresolved argument,"due to their past disagreements, <there's bad blood between them>",There is bad blood between them since their last physical altercation,"after the transfusion, the doctor discovered that <there's bad blood between them>",0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,to have ill feelings towards someone,False,False
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,bad egg,He's a bad egg,<turned out to be a bad egg>,"He's a bad egg, always trying to take advantage of other people","despite his charming demeanor, he <turned out to be a bad egg> in the company",He's a bad egg because there was a crack in it,the carton of eggs we bought <turned out to be a bad egg> when we cracked it open,0.0,figurative : figurative : literal,figurative,figurative,literal,someone who fails to meet expectations,False,False
"['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']","['figurative', 'ambiguous', 'literal']",False,bad-mouth,He bad-mouthed the teacher,<bad-mouthed the company>,He bad-mouthed the teacher by spreading rumors about him,"he <bad-mouthed the company> to his friends, complaining about the management",He bad-mouthed the teacher by actually saying bad words about him,"the actor <bad-mouthed the company> in a play, portraying an angry customer",0.0,figurative : literal : ambiguous,figurative,literal,ambiguous,to say something bad about something,False,False
"['ambiguous', 'figurative', 'literal']","['literal', 'literal', 'literal']","['literal', 'literal', 'literal']",False,bag and baggage,She packed her bag and baggage,<left with bag and baggage>,She packed her bag and baggage when she left the country for a year-long academic program,"after the argument, he <left with bag and baggage>, cutting all ties with his family",She packed her bag and baggage to fit all of her belongings,"before the storm hit, they <left with bag and baggage> to evacuate their home",0.0,ambiguous : literal : literal,ambiguous,literal,literal,(with) all one's belongings.,False,False
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,ball and chain,My job is like a ball and chain,<carrying a ball and chain>,My job is like a ball and chain that constrains my freedom,he felt like he was <carrying a ball and chain> with his overwhelming responsibilities,My job is like a ball and chain because I have to stay in the office all day,the prisoner was <carrying a ball and chain> as a part of his punishment,0.0,figurative : figurative : figurative,figurative,figurative,figurative,a burden or problem that ties you down and prevents you from doing what you want,False,False
"['ambiguous', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",True,ball of fire,The teacher is a ball of fire,,"The teacher is a ball of fire, always demonstrating enthusiasm and vigor in his teaching",,"The teacher is a ball of fire, literally spitting out sparks with his lectures",,,figurative : figurative : literal,figurative,figurative,literal,"a dynamic person capable of or displaying rapid and highly effective thought, action, etc.",False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",False,bang head against wall,He's been banging his head against the wall,,He's been banging his head against the wall when trying to figure out how to solve this problem,,He's been banging his head against the wall even though it's giving him a headache,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to be frustrated in your efforts to change something or make something happen,False,True
"['figurative', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['figurative', 'literal', 'figurative']",False,bare bones,We can only afford the bare bones,<presented the bare bones>,We can only afford the bare bones of what we need for this project so we can try to keep costs low,"during the meeting, she <presented the bare bones> of the project plan","We can only afford the bare bones of the project we need, literally leaving it incomplete",the archaeologist <presented the bare bones> of the ancient skeleton,0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,most basic and important elements or facts,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,bark up the wrong tree,You've been barking up the wrong tree,,You've been barking up the wrong tree ever since you started searching for the answers,,You've been barking up the wrong tree because the animal you're looking for is in a different one,,,ambiguous : figurative : literal,ambiguous,figurative,literal,waste one's efforts by pursuing the wrong thing or path,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,bats in the belfry,There are bats in the belfry,,There are bats in the belfry because the professor's ideas seem a bit crazy,,There are bats in the belfry because they found a way to get in,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to be silly and slightly crazy and behave in a confused way,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,batten down the hatches,We battened down the hatches,,We battened down the hatches as the economic crisis hit us,,We battened down the hatches on the boat against the strong wind,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to get ready for trouble,False,True
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",False,baying for blood,The crowd was baying for blood,<baying for blood>,The crowd was baying for blood after hearing the allegations against the accused,the angry mob was <baying for blood> after the politician's scandal,The crowd was baying for blood as the smell of it aroused their sense of thirst,the pack of hungry wolves was <baying for blood> as they hunted their prey,0.0,figurative : figurative : literal,figurative,figurative,literal,want somebody to be hurt or punished.,False,False
