idiom,meaning,example,source,dupl,idiom_set,idiom_dict,meaning_dict,example_dict,idiom_pfbt,meaning_pfbt
dead and buried,no longer in use. Example: US. and Great Britain won't stop their weapons until the terrorism is dead and buried from the eaExample: no longer in use. ,US. and Great Britain won't stop their weapons until the terrorism is dead and buried from the eaExample: ing: no longer in use. Example: US. and Great Britain won't stop their weapons until the terrorism is dead and buried from the ea,dict,0,"frozenset({'dead', 'buri'})",dead and buried,no longer in use. Example: US. and Great Britain won't stop their weapons until the terrorism is dead and buried from the eaExample: no longer in use. ,US. and Great Britain won't stop their weapons until the terrorism is dead and buried from the eaExample: ing: no longer in use. Example: US. and Great Britain won't stop their weapons until the terrorism is dead and buried from the ea,,
on cue,to happen at the precise moment,The race started right on cue. It was indeed enthralling to watch.,dict,0,frozenset({'cue'}),on cue,to happen at the precise moment,The race started right on cue. It was indeed enthralling to watch.,,
cut corners,"economise on time, money, materials or effort, perhaps unwisely",It is certainly not a sensible move to cut corners with national security.,dict,0,"frozenset({'corner', 'cut'})",cut corners,"economise on time, money, materials or effort, perhaps unwisely",It is certainly not a sensible move to cut corners with national security.,,
curry favour,seek to gain advantage by flattery,Her uncle is so rich that she feels compelled to curry favor with him lest she does not get mentioned in the will!,dict,0,"frozenset({'favour', 'curri'})",curry favour,seek to gain advantage by flattery,Her uncle is so rich that she feels compelled to curry favor with him lest she does not get mentioned in the will!,,
cut both ways,"have two different effects at the same time, usually one good and one bad. Example: Watching TV cuts both ways; it makes people know what is real going on, but it also make them lazy, addicted and sExample: have two different effects at the same time, usually one good and one bad. ","Watching TV cuts both ways; it makes people know what is real going on, but it also make them lazy, addicted and sExample: ing: have two different effects at the same time, usually one good and one bad. Example: Watching TV cuts both ways; it makes people know what is real going on, but it also make them lazy, addicted and s",dict,0,"frozenset({'both', 'cut', 'way'})",cut both ways,"have two different effects at the same time, usually one good and one bad. Example: Watching TV cuts both ways; it makes people know what is real going on, but it also make them lazy, addicted and sExample: have two different effects at the same time, usually one good and one bad. ","Watching TV cuts both ways; it makes people know what is real going on, but it also make them lazy, addicted and sExample: ing: have two different effects at the same time, usually one good and one bad. Example: Watching TV cuts both ways; it makes people know what is real going on, but it also make them lazy, addicted and s",,
off the cuff,in an unguarded way,She has a habit of making off-the-cuff remarks which she later denies.,dict,0,"frozenset({'cuff', 'off'})",off the cuff,in an unguarded way,She has a habit of making off-the-cuff remarks which she later denies.,,
cut down,to reduce the amount of something (usually bad),I am trying to cut down on sugar this month. I would like to lose some weight before going on holiday.,dict,0,"frozenset({'cut', 'down'})",cut down,to reduce the amount of something (usually bad),I am trying to cut down on sugar this month. I would like to lose some weight before going on holiday.,,
cut coat according to cloth,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources. Example: Of course, we'd love a luxurious car, but you have to cut your coat according to your clothExample: adapt to one's circumstances, make sure one's plans are appropriate to one's resources. ","Of course, we'd love a luxurious car, but you have to cut your coat according to your clothExample: ing: adapt to one's circumstances, make sure one's plans are appropriate to one's resources. Example: Of course, we'd love a luxurious car, but you have to cut your coat according to your clothRead on",dict,0,"frozenset({'accord', 'cut', 'cloth', 'coat'})",cut coat according to cloth,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources. Example: Of course, we'd love a luxurious car, but you have to cut your coat according to your clothExample: adapt to one's circumstances, make sure one's plans are appropriate to one's resources. ","Of course, we'd love a luxurious car, but you have to cut your coat according to your clothExample: ing: adapt to one's circumstances, make sure one's plans are appropriate to one's resources. Example: Of course, we'd love a luxurious car, but you have to cut your coat according to your clothRead on",,
call names,to insult someone,"She was afraid that if she wore spectacles to her school, the other kids would call her names.",dict,0,"frozenset({'call', 'name'})",call names,to insult someone,"She was afraid that if she wore spectacles to her school, the other kids would call her names.",,
carte blanche,to have complete authority,The guy has carte blanche over who works and who does not in this company.,dict,0,"frozenset({'blanch', 'cart'})",carte blanche,to have complete authority,The guy has carte blanche over who works and who does not in this company.,,
