idiom,meaning,example
brown study,melancholy mood accompanied by deep thought,I realised that Sandra wasn't concentrating on what the boss was saying and had disappeared into a brown study.
good egg,a kind person,"My neighbour, Frank is such a good egg. He always feeds the cat and checks the house if we are away."
bad egg,someone who fails to meet expectations,Stay away from Gordon. He's a thoroughly bad egg and the biggest bully in the school.
lower the bar,to lower standards or expectations,The revision bill aims to lower the bar on picking candidates.
raise the bar,to be better than what went before,"Our family is so competitive. Now that my cousin has gone to university, everyone will expect me and my brother to raise the bar too."
stand your ground,not retreat,"We stood our ground on the footpath, and then eventually, all the cows moved away."
outside the lines,not sticking to the rules,I never thought they would be allowed to do their duties outside the lines.
halfway house,"mid-point in recovery, treatment, or progress",Frank has gone into a halfway house after 27 years in prison.
not believe eyes,shock or surprise at something you see or hear,My fiancé is with someone else - I can't believe my eyes.
spick and span,neat and clean,The house was spick and span when the guests arrived. Jane must have been cleaning for hours.
come to think of/about it,something that has just occurred to us as we speak,"Come to think of it, add potatoes and carrots to the list."
worm in the apple,the presence of something very bad in the best,There's nothing worse than getting a worm in your apple!
without further ado,no fuss or ceremony,"Steve is very organised and friendly. When we met him last week, he introduced us all to the team without further ado."
