idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt,p_l_he_gpt
at the helm,"in charge of an organization, group of people, etc.","She was [[at the helm of the project]], guiding the team to success","The captain stood [[at the helm of the project]], steering the ship through the storm","She was at the helm of the project, guiding the team to success","The captain stood at the helm of the project, steering the ship through the storm",at the helm of the project,am Steuer des Projekts,Sie war an der Spitze des Projekts und führte das Team zum Erfolg.,Der Kapitän stand am Steuer des Projekts und steuerte das Schiff durch den Sturm.,בראש הפרויקט,"היא הייתה בכיסא המנהלת של הפרויקט, מנחה את הצוות להצלחה.","הקפטן עמד בכיור הפרויקט, מנהל את הספינה דרך הסערה."
ate her alive,to criticize someone severely because you are angry with them,The guilt of lying to her best friend [[it ate her alive]] for days,"In the horror movie, the monster found her hiding spot and [[it ate her alive]]",The guilt of lying to her best friend it ate her alive for days,"In the horror movie, the monster found her hiding spot and it ate her alive",it ate her alive,Es hat sie lebendig gefressen.,"Die Schuld, ihre beste Freundin angelogen zu haben, fraß sie tagelang auf.",Im Horrorfilm fand das Monster ihren Versteck und fraß sie lebendig.,אכל אותה חיה.,האשמה של השקר לכייסה הטובה שלה אכלה אותה חיים למספר ימים.,"בסרט האימה, המפלצת מצאה את מקום ההחבאה שלה ואכלה אותה חיה."
axe to grind,have a private or selfish reason for doing something,He [[had an axe to grind]] with his coworker after the disagreement,The lumberjack [[had an axe to grind]] before chopping down the tree,He had an axe to grind with his coworker after the disagreement,The lumberjack had an axe to grind before chopping down the tree,had an axe to grind,hatte eine Rechnung zu begleichen.,"Er hatte eine Rechnung mit seinem Kollegen zu begleichen, nachdem es zu einer Meinungsverschiedenheit gekommen war.","Der Holzfäller hatte eine Rechnung zu begleichen, bevor er den Baum fällte.",היה לו צורך להתגבר על משהו או להשיג מטרה מסוימת.,היה לו צורך להתנקות מן הכעס עם עמיתו לאחר הסכסוך.,החוטב עצים היה עם חשבון לקבוע לפני שהוא חותך את העץ.
back against the wall,to be in a tough situation with limited options,"With no other options left, [[he had his back against the wall]] and had to make a decision",[[He had his back against the wall]] while waiting for the elevator,"With no other options left, he had his back against the wall and had to make a decision",He had his back against the wall while waiting for the elevator,he had his back against the wall,Er hatte seinen Rücken an der Wand.,"Ohne andere Optionen übrig zu haben, hatte er seinen Rücken gegen die Wand und musste eine Entscheidung treffen.","Er hatte seinen Rücken an der Wand, während er auf den Aufzug wartete.",הוא היה עם הגב לקיר,"עם אין אפשרויות אחרות לו, הוא היה עם הגב לקיר והיה חייב לקבל החלטה.",הוא היה עם הגב נגד הקיר בזמן שהוא המתין למעלית.
back the wrong horse,to make the wrong decision and support a person or action that is later unsuccessful,[[She backed the wrong horse]] when she supported the losing candidate,"At the racetrack, [[she backed the wrong horse]] and lost her bet",She backed the wrong horse when she supported the losing candidate,"At the racetrack, she backed the wrong horse and lost her bet",She backed the wrong horse,Sie setzte auf das falsche Pferd.,"Sie setzte auf das falsche Pferd, als sie den unterlegenen Kandidaten unterstützte.",Auf der Rennstrecke setzte sie auf das falsche Pferd und verlor ihre Wette.,היא המרה על הסוס הלא נכון.,היא בחרה בסוס הלא נכון כשתמכה במועמד המפסיד.,"במסלול המרוצים, היא המרימה על הסוס הלא נכון והפסידה את ההימור שלה."
backroom boy(s),people who work in anonymity,The company's success was largely due to [[the backroom boys]] who worked tirelessly behind the scenes,"In the storage area, [[the backroom boys]] were busy organizing and restocking shelves",The company's success was largely due to the backroom boys who worked tirelessly behind the scenes,"In the storage area, the backroom boys were busy organizing and restocking shelves",the backroom boys,die Hinterzimmer-Jungs,"Der Erfolg des Unternehmens war größtenteils auf die Hinterzimmer-Jungs zurückzuführen, die unermüdlich im Hintergrund arbeiteten.","Im Lagerbereich waren die Jungs aus dem Hinterzimmer damit beschäftigt, Regale zu organisieren und aufzufüllen.",הבנים שבחזית,הצלחת החברה הייתה בעיקר בזכות הבנים שעבדו בהתמדה מאחורי הקלעים.,"באזור האחסון, הבנים מהחזירה היו עסוקים בארגון והחזרת מלאי למדפים."
bad egg,someone who fails to meet expectations,"Despite his charming demeanor, he [[turned out to be a bad egg]] in the company",The carton of eggs we bought [[turned out to be a bad egg]] when we cracked it open,"Despite his charming demeanor, he turned out to be a bad egg in the company",The carton of eggs we bought turned out to be a bad egg when we cracked it open,turned out to be a bad egg,stellte sich als schlechtes Ei heraus.,Trotz seines charmanten Auftretens stellte er sich als schwarzes Schaf im Unternehmen heraus.,"Die Schachtel Eier, die wir gekauft haben, stellte sich als schlechtes Ei heraus, als wir es aufgebrochen haben.",התברר כביצה רעה,"למרות התנהגותו המקסימה, התברר שהוא חבוש רע בחברה.",הקרטון של הביצים שקנינו התברר כביצה רעה כשפרצנו אותה.
ball and chain,a burden or problem that ties you down and prevents you from doing what you want,He felt like he [[was carrying a ball and chain]] with his overwhelming responsibilities,The prisoner [[was carrying a ball and chain]] as a part of his punishment,He felt like he was carrying a ball and chain with his overwhelming responsibilities,The prisoner was carrying a ball and chain as a part of his punishment,was carrying a ball and chain,Er trug einen Ball und eine Kette.,"Er fühlte sich, als ob er eine Kugel und Kette mit seinen überwältigenden Verantwortlichkeiten tragen würde.",Der Gefangene trug als Teil seiner Strafe einen Ball und eine Kette.,נשא כדור ושרשרת,הוא הרגיש כאילו הוא נושא כדור ושרשרת עם האחריות הכבדה שלו.,האסיר נשא כדור ושרשרת כחלק מהעונש שלו.
bare bones,most basic and important elements or facts,"During the meeting, she [[presented the bare bones]] of the project plan",The archaeologist [[presented the bare bones]] of the ancient skeleton,"During the meeting, she presented the bare bones of the project plan",The archaeologist presented the bare bones of the ancient skeleton,presented the bare bones,präsentierte das Wesentliche,Während des Treffens präsentierte sie die Grundzüge des Projektplans.,Der Archäologe präsentierte die nackten Knochen des antiken Skeletts.,הצגתי את העצמות החשופות,"במהלך הפגישה, היא הציגה את עצמי הפרוייקט בצורה הכי בסיסית.",הארכיאולוג הציג את העצמות החשופות של השלד העתיק.
bark up the wrong tree,waste one's efforts by pursuing the wrong thing or path,Accusing her of stealing the documents [[was barking up the wrong tree]],"The confused dog [[was barking up the wrong tree]], as the squirrel had already moved to another one",Accusing her of stealing the documents was barking up the wrong tree,"The confused dog was barking up the wrong tree, as the squirrel had already moved to another one",was barking up the wrong tree,Er hat auf dem falschen Dampfer gesessen.,"Sie des Diebstahls der Dokumente zu beschuldigen, war auf dem Holzweg.","Der verwirrte Hund bellte den falschen Baum an, da das Eichhörnchen bereits zu einem anderen Baum gewechselt hatte.",הוא התייחס לעניין בצורה שגויה,להאשים אותה בגניבת המסמכים היה טעות.,"הכלב המבולבל ניבח בעץ הלא נכון, מכיוון שהסנאי כבר התגורר בעץ אחר."
bats in the belfry,to be silly and slightly crazy and behave in a confused way,His wild theories and peculiar behavior made others think he [[had bats in the belfry]],The old church tower [[had bats in the belfry]] that flew out at dusk,His wild theories and peculiar behavior made others think he had bats in the belfry,The old church tower had bats in the belfry that flew out at dusk,had bats in the belfry,Hatte Flöhe im Kopf.,"Seine wilden Theorien und sein eigenartiges Verhalten ließen andere denken, dass er nicht alle Tassen im Schrank hat.","Der alte Kirchturm hatte Fledermäuse im Glockenturm, die bei Dämmerung herausflogen.",היו לו עטלפים בקורה,התיאוריות הפרועות שלו וההתנהגות המוזרה גרמו לאחרים לחשוב שיש לו עטלפים בקורה.,המגדל הישן של הכנסייה היה עם עטלפים בחדר הפעמון שטסו החוצה בשקיעה.
