idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt
big mouth,someone who talks too much,"He can't keep a secret, he [[has a big mouth]]",The hippopotamus [[has a big mouth]] to consume large amounts of food,"He can't keep a secret, he has a big mouth",The hippopotamus has a big mouth to consume large amounts of food,has a big mouth,hat eine große Klappe.,"Er kann kein Geheimnis für sich behalten, er hat eine große Klappe."
bigger fish to fry,"to have other, more important things to do.","I can't focus on this minor issue, [[I have bigger fish to fry]] at work","I can't cook these small ones now, [[I have bigger fish to fry]] for the dinner party","I can't focus on this minor issue, I have bigger fish to fry at work","I can't cook these small ones now, I have bigger fish to fry for the dinner party",I have bigger fish to fry,Ich habe wichtigere Dinge zu tun.,"Ich kann mich nicht auf dieses kleine Problem konzentrieren, ich habe bei der Arbeit größere Fische zu braten."
bite head off,overreact in an angry or harsh way,She was so angry that she [[bit his head off]] when he tried to explain,The snake [[bit his head off]] when he got too close to its nest,She was so angry that she bit his head off when he tried to explain,The snake bit his head off when he got too close to its nest,bit his head off,Er hat ihm den Kopf abgebissen.,"Sie war so wütend, dass sie ihm den Kopf abgebissen hat, als er versuchte zu erklären."
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage","By accepting too many projects at once, [[he bit off more than he could chew]]",[[He bit off more than he could chew]] when he tried to eat the whole sandwich in one bite,"By accepting too many projects at once, he bit off more than he could chew",He bit off more than he could chew when he tried to eat the whole sandwich in one bite,he bit off more than he could chew,Er hat sich übernommen.,"Indem er zu viele Projekte auf einmal annahm, hat er sich übernommen."
bite the hand that feed,to turn against someone who has been a benefactor in the past,"By criticizing her mentor, she [[bit the hand that fed]] her",The untrained dog [[bit the hand that fed]] him,"By criticizing her mentor, she bit the hand that fed her",The untrained dog bit the hand that fed him,bit the hand that fed,"die Hand gebissen, die gefüttert hat","Indem sie ihren Mentor kritisierte, biss sie die Hand, die sie fütterte."
bits and pieces,miscellaneous small objects,"After the meeting, [[we gathered the bits and pieces]] of information to create a report","Following the vase's shattering, [[we gathered the bits and pieces]] from the floor","After the meeting, we gathered the bits and pieces of information to create a report","Following the vase's shattering, we gathered the bits and pieces from the floor",we gathered the bits and pieces,Wir haben die Stücke zusammengetragen.,"Nach dem Meeting sammelten wir die Informationen zusammen, um einen Bericht zu erstellen."
bitter medicine,something difficult to accept,The harsh criticism was [[a dose of bitter medicine]] that helped him improve,The doctor prescribed [[a dose of bitter medicine]] to treat his illness,The harsh criticism was a dose of bitter medicine that helped him improve,The doctor prescribed a dose of bitter medicine to treat his illness,a dose of bitter medicine,eine Dosis bittere Medizin,"Die harsche Kritik war eine Dosis bitterer Medizin, die ihm half, sich zu verbessern."
bitter pill,something unpleasant to be endured,He had [[to swallow a bitter pill]] when he realized he couldn't afford his dream car,The medicine was so awful that she had [[to swallow a bitter pill]],He had to swallow a bitter pill when he realized he couldn't afford his dream car,The medicine was so awful that she had to swallow a bitter pill,to swallow a bitter pill,eine bittere Pille schlucken,"Er musste eine bittere Pille schlucken, als er realisierte, dass er sich sein Traumauto nicht leisten konnte."
black and blue,"hurt, either bodily, emotionally or psychologically","After the harsh criticism, his ego [[was bruised black and blue]]",He fell off his bike and [[was bruised black and blue]] all over his body,"After the harsh criticism, his ego was bruised black and blue",He fell off his bike and was bruised black and blue all over his body,was bruised black and blue,war blau und schwarz gequetscht,Nach der harten Kritik war sein Ego blau und blau geschlagen.
black book,a book containing a list of secret contacts,"After betraying his trust, she [[was found in the black book]] of his memories",The old photograph [[was found in the black book]] on the dusty shelf,"After betraying his trust, she was found in the black book of his memories",The old photograph was found in the black book on the dusty shelf,was found in the black book,Wurde im schwarzen Buch gefunden.,"Nachdem sie sein Vertrauen verraten hatte, wurde sie im schwarzen Buch seiner Erinnerungen gefunden."
black hole,a place in which things are lost never to be seen again,"The inefficient department created [[a black hole in the system]], draining resources",Scientists discovered [[a black hole in the system]] while observing the galaxy,"The inefficient department created a black hole in the system, draining resources",Scientists discovered a black hole in the system while observing the galaxy,a black hole in the system,Ein schwarzes Loch im System.,Die ineffiziente Abteilung hat ein schwarzes Loch im System geschaffen und Ressourcen abgezogen.
black sheep,a disgrace,"Despite his successful siblings, John's unconventional career choice made him [[the black sheep in their midst]]","Among the white ones, there was [[the black sheep in their midst]] grazing in the field","Despite his successful siblings, John's unconventional career choice made him the black sheep in their midst","Among the white ones, there was the black sheep in their midst grazing in the field",the black sheep in their midst,Das schwarze Schaf in ihrer Mitte.,Trotz seiner erfolgreichen Geschwister machte Johns unkonventionelle Karrierewahl ihn zum schwarzen Schaf in ihrer Mitte.
blazing row,a very angry argument,The couple next door [[had a blazing row]] over their finances,The firefighters [[had a blazing row]] of flames to extinguish,The couple next door had a blazing row over their finances,The firefighters had a blazing row of flames to extinguish,had a blazing row,hatte einen heftigen Streit.,Das Paar von nebenan hatte einen heftigen Streit über ihre Finanzen.
blind as a bat,unconscious to something,"Without his glasses, he's [[as blind as a bat]] and can't see anything","The cave-dwelling creature was [[as blind as a bat]], relying on echolocation to navigate","Without his glasses, he's as blind as a bat and can't see anything","The cave-dwelling creature was as blind as a bat, relying on echolocation to navigate",as blind as a bat,so blind wie eine Fledermaus,Ohne seine Brille ist er so blind wie eine Fledermaus und kann nichts sehen.
