idiom,meaning,intended_ambiguous,maxvote_ambiguous,intended_figurative,maxvote_figurative,intended_literal,maxvote_literal,annotations_ambiguous,annotations_figurative,annotations_literal,well_formed,maxvote - for sort
batten down the hatches,to get ready for trouble,We battened down the hatches,ambiguous,We battened down the hatches as the economic crisis hit us,figurative,We battened down the hatches on the boat against the strong wind,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",TRUE,ambiguous : figurative : literal
baying for blood,want somebody to be hurt or punished.,The crowd was baying for blood,figurative,The crowd was baying for blood after hearing the allegations against the accused,figurative,The crowd was baying for blood as the smell of it aroused their sense of thirst,literal,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",FALSE,figurative : figurative : literal
be on a collision course,doing or saying things which are certain to cause a serious disagreement or a fight between them.,They're on a collision course,ambiguous,They're on a collision course to fail the project because they can't agree on the key components,figurative,They're on a collision course since they're planning to fly their planes at the same time,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
bear fruit,to produces positive or successful results,The efforts bore fruit,ambiguous,The efforts bore fruit when the new program was successfully instituted,figurative,The efforts bore fruit when the trees started to produce apples,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
beat around the bush,avoid talking about the main topic,He was beating around the bush,ambiguous,He was beating around the bush and not answering my question directly,figurative,He was beating around the bush to clear away the leaves and twigs,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
beat the drum,to speak eagerly about something you support,He's been beating the drum,ambiguous,He's been beating the drum to spread the message about the upcoming election,figurative,He's been beating the drum to make some noise at the parade,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
bee in bonnet,be possessed with one thought or scheme,She has a bee in her bonnet,ambiguous,She has a bee in her bonnet about cleaning her room before the weekend arrives,figurative,She has a bee in her bonnet that just won't go away,ambiguous,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'ambiguous', 'ambiguous']",FALSE,ambiguous : figurative : ambiguous
been tailor made,specially made for a particular purpose,He's been tailor made,ambiguous,"He's been tailor made for success, always putting his needs first",figurative,"He's been tailor made for his new suit, which fits him perfectly",literal,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
begun to see the light,to suddenly begin to understand,I have begun to see the light,ambiguous,I have begun to see the light after doing lots of research and talking to mentors,figurative,I have begun to see the light as the sun came up,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",TRUE,ambiguous : figurative : literal
behind bars,to be in jail or prison,He was behind bars,ambiguous,He was behind bars trying to figure out the best way to move forward with his life,figurative,He was behind bars since he was arrested for shoplifting,ambiguous,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['figurative', 'literal', 'ambiguous']",FALSE,ambiguous : figurative : ambiguous
behind closed doors,in clandestine,They talked behind closed doors,ambiguous,They talked behind closed doors when they thought nobody else was listening,ambiguous,They talked behind closed doors because the windows were locked,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",FALSE,ambiguous : ambiguous : literal
being bouncing off the walls,excited and full of nervous energy,"He's been bouncing off the walls"" ",ambiguous,He's been bouncing off the walls due to his hyperactivity,figurative,He's been bouncing off the walls since he's been playing on a trampoline,ambiguous,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['ambiguous', 'figurative', 'literal']",FALSE,ambiguous : figurative : ambiguous
bells and whistles,special features that are added to a product or system to attract more buyers,I wanted all the bells and whistles,ambiguous,I wanted all the bells and whistles that come with the job,ambiguous,I wanted all the bells and whistles on the bicycle,figurative,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']",FALSE,ambiguous : ambiguous : figurative
below the belt,to be mean and unfair (in a fight),He said something below the belt,figurative,He said something below the belt - it was a savage comment,figurative,He said something below the belt - it was a comment about my trousers,literal,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",FALSE,figurative : figurative : literal
bend over backwards,do all in one's power (usually to achieve something or accommodate somebody),He bent over backwards,ambiguous,He bent over backwards to make sure his new business was successful,figurative,He bent over backwards until he was completely upside down,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
bent out of shape,to become angry.,He's bent out of shape,ambiguous,He's bent out of shape due to the harsh words said by his manager,figurative,He's bent out of shape because of the car accident,figurative,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'ambiguous', 'figurative']",FALSE,ambiguous : figurative : figurative
bent your ears,to talk to someone for a very long time about something boring,He bent my ears,ambiguous,He bent my ears with his stories about his travels,figurative,He bent my ears back to make me listen,literal,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
bet on the wrong horse,support a person or thing that ultimately fails,She bet on the wrong horse,ambiguous,She bet on the wrong horse when she invested her money in that company as it eventually failed,figurative,She bet on the wrong horse when she placed her bet on the losing horse at the racetrack,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
better half,spouse,He is my better half,figurative,He is my better half because he completes me,figurative,He is my better half because I am only half as good without him,literal,"['figurative', 'ambiguous', 'figurative']","['figurative', 'literal', 'figurative']","['literal', 'literal', 'figurative']",FALSE,figurative : figurative : literal
between a rock and a hard place,having two very bad choices,He's between a rock and a hard place,ambiguous,He's between a rock and a hard place as he has to decide between two equally unattractive options,figurative,He's between a rock and a hard place because he is stuck in a narrow gap,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
between you and me,a secret to be kept between two people,Between you and me,ambiguous,"Between you and me, I think that plan is impossible",figurative,"Between you and me, there is only a one-foot distance",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",TRUE,ambiguous : figurative : literal
beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.",He ventured beyond the veil,ambiguous,He ventured beyond the veil to explore the mysteries of the universe,figurative,He ventured beyond the veil to enter the secret room,figurative,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['figurative', 'figurative', 'ambiguous']",FALSE,ambiguous : figurative : figurative
