idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt
bad egg,someone who fails to meet expectations,"Despite his charming demeanor, he [[turned out to be a bad egg]] in the company",The carton of eggs we bought [[turned out to be a bad egg]] when we cracked it open,"Despite his charming demeanor, he turned out to be a bad egg in the company",The carton of eggs we bought turned out to be a bad egg when we cracked it open,turned out to be a bad egg,stellte sich als schlechtes Ei heraus,Trotz seines charmanten Auftretens stellte er sich als schwarzes Schaf im Unternehmen heraus.,"Die Schachtel Eier, die wir gekauft haben, stellte sich als schlechtes Ei heraus, als wir es aufgebrochen haben.",התברר כביצה רעה,"למרות התנהגותו המקסימה, התברר שהוא היה ביצה רעה בחברה."
ball and chain,a burden or problem that ties you down and prevents you from doing what you want,He felt like he [[was carrying a ball and chain]] with his overwhelming responsibilities,The prisoner [[was carrying a ball and chain]] as a part of his punishment,He felt like he was carrying a ball and chain with his overwhelming responsibilities,The prisoner was carrying a ball and chain as a part of his punishment,was carrying a ball and chain,trug einen Ball und eine Kette,"Er fühlte sich, als ob er eine Kugel und Kette mit seinen überwältigenden Verantwortlichkeiten tragen würde.",Der Gefangene trug als Teil seiner Strafe einen Ball und eine Kette bei sich.,נשא כדור ושרשרת,הוא הרגיש כאילו הוא נושא כדור ושרשרת עם האחריות הכבדה שלו.
bare bones,most basic and important elements or facts,"During the meeting, she [[presented the bare bones]] of the project plan",The archaeologist [[presented the bare bones]] of the ancient skeleton,"During the meeting, she presented the bare bones of the project plan",The archaeologist presented the bare bones of the ancient skeleton,presented the bare bones,präsentiert die Grundlagen,Während des Treffens präsentierte sie die Grundzüge des Projektplans.,Der Archäologe präsentierte die nackten Knochen des antiken Skeletts.,הצגתי את העצמות העיקריות.,"במהלך הפגישה, היא הציגה את העצמים הבסיסיים של תוכנית הפרויקט."
bark up the wrong tree,waste one's efforts by pursuing the wrong thing or path,Accusing her of stealing the documents [[was barking up the wrong tree]],"The confused dog [[was barking up the wrong tree]], as the squirrel had already moved to another one",Accusing her of stealing the documents was barking up the wrong tree,"The confused dog was barking up the wrong tree, as the squirrel had already moved to another one",was barking up the wrong tree,"""Er hat am falschen Baum gebellt.""","Sie zu beschuldigen, die Dokumente gestohlen zu haben, war auf dem Holzweg.","Der verwirrte Hund bellte den falschen Baum an, da das Eichhörnchen bereits zu einem anderen Baum gewechselt hatte.",הוא התפתה בעץ הלא נכון.,האשמה שלה בגניבת המסמכים הייתה טעות.
bats in the belfry,to be silly and slightly crazy and behave in a confused way,His wild theories and peculiar behavior made others think he [[had bats in the belfry]],The old church tower [[had bats in the belfry]] that flew out at dusk,His wild theories and peculiar behavior made others think he had bats in the belfry,The old church tower had bats in the belfry that flew out at dusk,had bats in the belfry,hatte Flöhe im Kopf,"Seine wilden Theorien und eigenartiges Verhalten ließen andere denken, dass er nicht alle Tassen im Schrank hat.","Der alte Kirchturm hatte Fledermäuse im Glockenturm, die bei Dämmerung herausflogen.",היו לו עטלפים בקופה.,התיאוריות הפרועות שלו וההתנהגות המוזרה גרמו לאחרים לחשוב שיש לו עטלפים בקורה.
batten down the hatches,to get ready for trouble,"When the company announced layoffs, employees had [[to batten down the hatches]] and prepare for the worst","As the storm approached, the sailors rushed [[to batten down the hatches]] on the ship","When the company announced layoffs, employees had to batten down the hatches and prepare for the worst","As the storm approached, the sailors rushed to batten down the hatches on the ship",to batten down the hatches,die Luken verriegeln,"Als das Unternehmen Entlassungen ankündigte, mussten die Mitarbeiter die Segel reffen und sich auf das Schlimmste vorbereiten.","Als sich der Sturm näherte, eilten die Seeleute, um die Luken auf dem Schiff zu verriegeln.",לסגור את הפתחים בחוזקה,"כאשר החברה הודיעה על פיטורים, העובדים היו חייבים לסגור את הדלתות ולהתכונן למצב הגרוע ביותר."
baying for blood,want somebody to be hurt or punished.,The angry mob was [[baying for blood]] after the politician's scandal,The pack of hungry wolves was [[baying for blood]] as they hunted their prey,The angry mob was baying for blood after the politician's scandal,The pack of hungry wolves was baying for blood as they hunted their prey,baying for blood,nach Blut dürstend,"Die wütende Menge schrie nach Blut, nachdem der Politiker in einen Skandal verwickelt war.","Das Rudel hungriger Wölfe heulte nach Blut, als sie ihre Beute jagten.",צועקים לדם,ההמונה הכועסת הייתה מציעה דם לאחר הסקנדל של הפוליטיקאי.
be on a collision course,doing or saying things which are certain to cause a serious disagreement or a fight between them.,Their opposing political views put them [[on a collision course with each other]],"The two ships, sailing at full speed, were [[on a collision course with each other]]",Their opposing political views put them on a collision course with each other,"The two ships, sailing at full speed, were on a collision course with each other",on a collision course with each other,auf Kollisionskurs miteinander,Ihre gegensätzlichen politischen Ansichten bringen sie auf Kollisionskurs miteinander.,"Die beiden Schiffe, die mit voller Geschwindigkeit segelten, waren auf Kollisionskurs miteinander.",על מסלול התנגשות זה בזה,הדעות הפוליטיות הנגדיות שלהם הביאו אותם למסלול התנגשות זה עם זה.
beat around the bush,avoid talking about the main topic,"If you have something to say, just [[stop beating around the bush]] and tell me","If you want to trim the garden, [[stop beating around the bush]] and start cutting it","If you have something to say, just stop beating around the bush and tell me","If you want to trim the garden, stop beating around the bush and start cutting it",stop beating around the bush,"Hör auf, um den heißen Brei herumzureden.","Wenn du etwas zu sagen hast, höre auf um den heißen Brei herumzureden und sag es mir einfach.","Wenn du den Garten trimmen möchtest, höre auf um den heißen Brei herumzureden und fange an ihn zu schneiden.",תפסיק להתגלגל סביב הזיח.,"אם יש לך משהו לומר, פשוט תפסיק להתבלבל ותגיד לי."
beat the drum,to speak eagerly about something you support,He tirelessly [[beat the drum for the cause]] to raise awareness about climate change,The musician [[beat the drum for the cause]] during the charity concert,He tirelessly beat the drum for the cause to raise awareness about climate change,The musician beat the drum for the cause during the charity concert,beat the drum for the cause,Schlage die Trommel für die Sache.,"Er schlug unermüdlich die Trommel für die Sache, um das Bewusstsein für den Klimawandel zu erhöhen.",Der Musiker schlug während des Benefizkonzerts für die Sache auf die Trommel.,הקש על התוף עבור הסיבה.,הוא הכה בתופף בלי ניצול למען המטרה להעלות המודעות לשינויי האקלים.
bee in bonnet,be possessed with one thought or scheme,She [[had a bee in her bonnet]] about the new policy changes,"During the picnic, she accidentally [[had a bee in her bonnet]] and panicked",She had a bee in her bonnet about the new policy changes,"During the picnic, she accidentally had a bee in her bonnet and panicked",had a bee in her bonnet,hatte eine Laus im Pelz,Sie hatte eine fixe Idee über die neuen Politikänderungen.,Während des Picknicks hatte sie versehentlich eine Biene in ihrem Hut und geriet in Panik.,היתה לה דבורה בכובע שלה,היא הייתה עם דבורה בכובע שלה לגבי השינויים במדיניות החדשה.
been tailor made,specially made for a particular purpose,The job opportunity [[has been tailor made]] for her skills and experience,The suit [[has been tailor made]] to fit his measurements perfectly,The job opportunity has been tailor made for her skills and experience,The suit has been tailor made to fit his measurements perfectly,has been tailor made,wurde maßgeschneidert,Die Stellenmöglichkeit wurde speziell auf ihre Fähigkeiten und Erfahrungen zugeschnitten.,"Der Anzug wurde maßgeschneidert, um perfekt zu seinen Maßen zu passen.",נועד להיות מותאם אישית,ההזדמנות המקצועית עוצבה במיוחד לפי הכישורים והניסיון שלה.
