idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt
black hole,a place in which things are lost never to be seen again,"The inefficient department created [[a black hole in the system]], draining resources",Scientists discovered [[a black hole in the system]] while observing the galaxy,"The inefficient department created a black hole in the system, draining resources",Scientists discovered a black hole in the system while observing the galaxy,a black hole in the system,"A tudósok felfedeztek egy fekete lyukat a rendszerben, miközben megfigyelték a galaxist."
black sheep,a disgrace,"Despite his successful siblings, John's unconventional career choice made him [[the black sheep in their midst]]","Among the white ones, there was [[the black sheep in their midst]] grazing in the field","Despite his successful siblings, John's unconventional career choice made him the black sheep in their midst","Among the white ones, there was the black sheep in their midst grazing in the field",the black sheep in their midst,A fehérek között legelészett a fekete bárány.
blazing row,a very angry argument,The couple next door [[had a blazing row]] over their finances,The firefighters [[had a blazing row]] of flames to extinguish,The couple next door had a blazing row over their finances,The firefighters had a blazing row of flames to extinguish,had a blazing row,A tűzoltóknak egy lángoló sorozatot kellett eloltaniuk.
blind as a bat,unconscious to something,"Without his glasses, he's [[as blind as a bat]] and can't see anything","The cave-dwelling creature was [[as blind as a bat]], relying on echolocation to navigate","Without his glasses, he's as blind as a bat and can't see anything","The cave-dwelling creature was as blind as a bat, relying on echolocation to navigate",as blind as a bat,"A barlanglakó lény olyan vak volt, mint egy denevér, echolokációra támaszkodott a navigáláshoz."
blow away,impress someone very much,Their innovative product [[blew away the competition]] in the market,The strong gust of wind [[blew away the competition]] papers from the table,Their innovative product blew away the competition in the market,The strong gust of wind blew away the competition papers from the table,blew away the competition,Az erős szélvihar eltépte a verseny papírokat az asztalról.
blow cover,to reveal the true identity,The undercover agent [[blew their cover]] by accidentally revealing their true identity,The strong wind [[blew their cover]] off the outdoor furniture,The undercover agent blew their cover by accidentally revealing their true identity,The strong wind blew their cover off the outdoor furniture,blew their cover,Az erős szél lefújta a takarójukat a kerti bútorról.
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,He never hesitates to [[blow his own horn]] about his accomplishments,"As a trumpet player, he would [[blow his own horn]] during practice",He never hesitates to blow his own horn about his accomplishments,"As a trumpet player, he would blow his own horn during practice",blow his own horn,Trombitásként gyakorlás közben maga is fújta a saját kürtjét.
blow your own trumpet,to say things that makes your own self or kin look good,He was always [[blowing his own trumpet]] about his accomplishments,"During the parade, he was [[blowing his own trumpet]] as part of the marching band",He was always blowing his own trumpet about his accomplishments,"During the parade, he was blowing his own trumpet as part of the marching band",blowing his own trumpet,Az felvonulás alatt a saját trombitáját fújta a zenekar tagjaként.
blue blood,a member of an upper-class family,They were considered [[a blue blood family]] due to their aristocratic lineage,"In a bizarre science fiction world, they were [[a blue blood family]] with copper-based hemocyanin",They were considered a blue blood family due to their aristocratic lineage,"In a bizarre science fiction world, they were a blue blood family with copper-based hemocyanin",a blue blood family,Egy furcsa tudományos-fantasztikus világban kék vérű család voltak réz-alapú hemocianinnel.
blue eyed boy,a person who is treated with special favor.,"He was [[the blue-eyed boy]] of the company, always receiving praise and promotions",The child with striking azure irises was [[the blue-eyed boy]] in the family,"He was the blue-eyed boy of the company, always receiving praise and promotions",The child with striking azure irises was the blue-eyed boy in the family,the blue-eyed boy,A feltűnő azúrkék íriszű gyermek volt a kék szemű fiú a családban.
born yesterday,naive; inexperienced,He was [[not born yesterday]] and could easily see through their lies,"Since today is her first birthday, she was [[not born yesterday]]",He was not born yesterday and could easily see through their lies,"Since today is her first birthday, she was not born yesterday",not born yesterday,"Mivel ma van az első születésnapja, nem tegnap született."
