idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt,p_a_ko_gpt,p_f_ko_gpt,p_l_ko_gpt,p_f_es_gpt,p_l_es_gpt,p_a_yo_gpt,p_f_yo_gpt
as long as,to put condition of time on an action,His patience was [[as long as the rope]] when dealing with difficult customers,The snake was [[as long as the rope]] lying next to it,His patience was as long as the rope when dealing with difficult customers,The snake was as long as the rope lying next to it,as long as the rope,"A kígyó olyan hosszú volt, mint az mellette fekvő kötél.",로프가 있는 한,그의 인내심은 어려운 고객들과 대할 때 줄만큼 길었다.,그 뱀은 그 옆에 놓인 로프만큼 길었다.,Su paciencia era tan larga como la cuerda al tratar con clientes difíciles.,La serpiente era tan larga como la cuerda que estaba junto a ella.,"ni ojojumo oju ose, a o ni a fi owo otun owo osi sile.",Iwadi rẹ jẹ nibẹ ni ojúmọ ti o ba ni ọjọgbọn ti o fẹ lati ṣe iṣẹ pẹlu awọn ọjọgbọn ti o gẹgẹ bii ẹyin.
asked for the moon,ask for something that is very difficult or impossible to get,He [[asked for the moon]] when he requested a million-dollar salary,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift",He asked for the moon when he requested a million-dollar salary,"The child, fascinated by astronomy, playfully asked for the moon as a birthday gift",asked for the moon,"A gyermek, aki lenyűgözte az asztrológiával, játékosan kérte a holdat születésnapi ajándékként.",달을 달라고 요청하다.,그는 백만 달러의 연봉을 요청할 때 달을 요구했다.,아이는 천문학에 매료되어 생일 선물로 달을 놀이처럼 요청했다.,Él pidió la luna cuando solicitó un salario de un millón de dólares.,"El niño, fascinado por la astronomía, pidió juguetonamente la luna como regalo de cumpleaños.",ti o ba ni oorun.,O ti kọ ohun t'o dara julọ ni o fi ọrọ ọkan milionu dọla ni.
asleep at the switch,failing to attend to one's responsibilities or duties,The manager was [[asleep at the switch]] when the crisis occurred,The train operator fell [[asleep at the switch]] during his break,The manager was asleep at the switch when the crisis occurred,The train operator fell asleep at the switch during his break,asleep at the switch,A vonatvezető elaludt a váltónál a szünete alatt.,스위치에서 자다.,위기가 발생할 때 매니저는 스위치에서 자고 있었다.,열차 운전사는 휴식 중에 스위치에서 잠들었습니다.,El gerente estaba dormido en el interruptor cuando ocurrió la crisis.,El operador del tren se quedó dormido en el interruptor durante su descanso.,ni ẹnu ọkọ.,Manejọ wa ni ilẹkun ni o ti gbe'ra lọwọ lọwọ ni ojojumọ ti o ba jẹ crisis.
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",The manager was [[asleep at the wheel]] when the company lost a major client,He was so exhausted that he fell [[asleep at the wheel]] while driving,The manager was asleep at the wheel when the company lost a major client,He was so exhausted that he fell asleep at the wheel while driving,asleep at the wheel,"Olyan kimerült volt, hogy elaludt a volán mögött vezetés közben.",바퀴를 잠자고 있다.,"그 회사가 주요 고객을 잃었을 때, 매니저는 운전대에서 잠들어 있었다.",그는 운전 중에 바퀴에 쓰러지도록 지쳐서 졸음이 왔다.,El gerente estaba dormido al volante cuando la empresa perdió un cliente importante.,Estaba tan exhausto que se quedó dormido al volante mientras conducía.,ni ọpọlọpọ awọn ọkọ ayọkẹlẹ.,Manejọ wa ni o n gbe oto si ile-iwe nigbati o ni ojojumo to n gbe omo-ọlọrun tobi.
at an arm's length,as far away from your body as possible,She [[kept it at an arm's length]] to avoid getting too involved in the situation,He [[kept it at an arm's length]] to prevent the paint from smudging his clothes,She kept it at an arm's length to avoid getting too involved in the situation,He kept it at an arm's length to prevent the paint from smudging his clothes,kept it at an arm's length,"Ő karhossznyira tartotta, hogy elkerülje a festék elkenődését a ruháin.",팔 길이만큼 멀리 두었다.,그녀는 상황에 너무 많이 개입하지 않기 위해 그것을 팔길이 떨어뜨려 놓았다.,그는 옷에 얼룩이 생기지 않도록 팔길이 떨어진 거리에 그것을 두었다.,Ella lo mantuvo a una distancia prudente para evitar involucrarse demasiado en la situación.,Lo mantuvo a una distancia de brazo para evitar que la pintura manchara su ropa.,ni ojojumo ni mo fi sile ni ojojumo.,O ti gbe e lori odo kan ni ojuse pe o ma koju si oro yii.
at daggers drawn,almost ready to fight,The two politicians were [[at daggers drawn with each other]] during the debate,The actors were [[at daggers drawn with each other]] during the stage fight scene,The two politicians were at daggers drawn with each other during the debate,The actors were at daggers drawn with each other during the stage fight scene,at daggers drawn with each other,Az színészek egymással szemben álltak a színpadi harci jelenet alatt.,서로 칼을 뽑고 대립하다.,토론 중 두 정치인은 서로 칼을 뽑아 대립했다.,무대 싸움 장면에서 배우들은 서로 칼을 뽑았다.,Los dos políticos estaban en pie de guerra el uno con el otro durante el debate.,Los actores estaban en pie de guerra entre sí durante la escena de lucha en el escenario.,ni oju iku ni won fi nra si ojojumo.,Awọn ọmọ ilẹ̀ṣẹ meji ti o wà niwaju ọkan-ti-ọkan niwaju awọn iṣẹṣe yii.
at the bottom of the ladder,"occupying the lowest, most basic position in a given group",[[She started at the bottom of the ladder]] in the company and worked her way up,"Before climbing, [[she started at the bottom of the ladder]] and checked each rung for stability",She started at the bottom of the ladder in the company and worked her way up,"Before climbing, she started at the bottom of the ladder and checked each rung for stability",She started at the bottom of the ladder,"Mielőtt felmászott volna, az aljáról kezdve ellenőrizte az összes létralépést a stabilitás szempontjából.",그녀는 사다리의 맨 아래에서 시작했다.,그녀는 회사에서 사다리의 맨 아래에서 시작하여 자신의 노력으로 승진했습니다.,오르기 전에 그녀는 사다리 아래에서 시작하여 각 단계가 안정적인지 확인했습니다.,Ella comenzó en la parte inferior de la escalera en la empresa y trabajó para ascender.,"Antes de subir, ella empezó en la parte inferior de la escalera y revisó cada peldaño para asegurarse de que estuviera estable.",O ti bẹrẹ sinu ọkọrin lẹhin.,O ti bẹrẹ sinu ọkọpẹ ni ilu ati o ṣe iṣẹ rẹ ni ibeere.
at the drop of a dime,something that can happen very fast without hesitation,Our team is always [[ready at the drop of a dime]] to tackle any challenge,The coin collector was [[ready at the drop of a dime]] to catch the rare coin,Our team is always ready at the drop of a dime to tackle any challenge,The coin collector was ready at the drop of a dime to catch the rare coin,ready at the drop of a dime,A pénzgyűjtő készen állt egy fillérnyi idő alatt elkapni a ritka érmét.,바로 대기중이다.,우리 팀은 언제든지 동전 하나 떨어질 때마다 어떤 도전이든 해결할 준비가 되어 있습니다.,동전 수집가는 희귀한 동전을 잡기 위해 10센트가 떨어질 때 준비가 되어 있었다.,Nuestro equipo siempre está listo en un abrir y cerrar de ojos para enfrentar cualquier desafío.,El coleccionista de monedas estaba listo en un abrir y cerrar de ojos para atrapar la moneda rara.,"ti o ba ti wa ni oju alafo, o le lo.",Igbagbogbo wa ni o si tun ti gbe owo re siwaju lati mu gbogbo ohun ti o ba nse ni ibeere.
at the drop of the hat,to do something easily and without any preparation,She was always [[ready at the drop of a hat]] to help her friends,"As a professional hat catcher, he was [[ready at the drop of a hat]] to catch any falling hats",She was always ready at the drop of a hat to help her friends,"As a professional hat catcher, he was ready at the drop of a hat to catch any falling hats",ready at the drop of a hat,"Mint egy profi kalapfogó, ő készen állt bármikor elkapni a leeső kalapokat.",즉각적으로 준비되어 있다.,그녀는 언제든지 친구들을 돕기 위해 즉각적으로 준비되어 있었습니다.,"그는 전문적인 모자 잡이로, 언제든지 떨어지는 모자를 잡을 준비가 되어 있었다.",Ella siempre estaba lista en un abrir y cerrar de ojos para ayudar a sus amigos.,"Como un cazador de sombreros profesional, estaba listo en un abrir y cerrar de ojos para atrapar cualquier sombrero que cayera.","ti o ba ti wa pada, o le lo si ile-iwe.",O ti wa ni isoro ni ojojumo lati ran awon ore re ni ife.
at the helm,"in charge of an organization, group of people, etc.","She was [[at the helm of the project]], guiding the team to success","The captain stood [[at the helm of the project]], steering the ship through the storm","She was at the helm of the project, guiding the team to success","The captain stood at the helm of the project, steering the ship through the storm",at the helm of the project,"A kapitány a projekt kormányánál állt, és az árvízben vezette a hajót.",프로젝트의 지휘봉을 잡고 있는,"그녀는 프로젝트의 지휘봉을 잡고, 팀을 성공으로 이끌었습니다.","선장은 프로젝트의 헬름에 서 있었고, 폭풍 속에서 배를 조종했다.","Ella estaba al timón del proyecto, guiando al equipo hacia el éxito.","El capitán se paró en el timón del proyecto, guiando el barco a través de la tormenta.",ni ibeere ti awọn iṣẹ.,"O ti ni iṣẹ kan ni ibẹ̀rẹ̀, ti o ṣe irinṣẹ́ lati ṣe alafia pẹlu ilẹ̀-ẹ̀kọ́ rẹ."
ate her alive,to criticize someone severely because you are angry with them,The guilt of lying to her best friend [[it ate her alive]] for days,"In the horror movie, the monster found her hiding spot and [[it ate her alive]]",The guilt of lying to her best friend it ate her alive for days,"In the horror movie, the monster found her hiding spot and it ate her alive",it ate her alive,A horror filmben a szörny megtalálta a rejtekhelyét és élve megevte őt.,그것은 그녀를 살아 먹었다.,그녀의 가장 친한 친구에게 거짓말을 한 죄책감은 며칠 동안 그녀를 괴롭혔다.,공포 영화에서 괴물은 그녀의 숨는 곳을 찾아내어 살아있는 채로 먹어버렸다.,La culpa de mentirle a su mejor amiga la consumió por días.,"En la película de terror, el monstruo encontró su escondite y la devoró viva.",O ti jeun o lara.,"Ibẹrẹ ọrọ buruku ti o sọ si ọrẹ tọ́nà rẹ, o jẹ ọkan rẹ ni ojúewé ni ojúewé."
axe to grind,have a private or selfish reason for doing something,He [[had an axe to grind]] with his coworker after the disagreement,The lumberjack [[had an axe to grind]] before chopping down the tree,He had an axe to grind with his coworker after the disagreement,The lumberjack had an axe to grind before chopping down the tree,had an axe to grind,"Az erdésznek volt egy személyes ügye, mielőtt kivágta a fát.",이유를 가지고 있었다.,분쟁 후 그는 동료에게 원한이 있었다.,벌목꾼은 나무를 베기 전에 해야 할 일이 있었다.,Tenía una cuenta pendiente con su compañero de trabajo después del desacuerdo.,El leñador tenía una cuenta pendiente antes de talar el árbol.,ko si ohun ti mo fe se ni mo nse.,O ni irinna lati fi oju oogun re sile pelu ololowo ise re ni ojojumo yii.
