idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt,p_a_ko_gpt,p_f_ko_gpt
behind closed doors,in clandestine,The board members discussed the matter [[behind closed doors]] to maintain confidentiality,"They stood [[behind closed doors]] while discussing the matter, as the room was too noisy",The board members discussed the matter behind closed doors to maintain confidentiality,"They stood behind closed doors while discussing the matter, as the room was too noisy",behind closed doors,"Az ügyről beszélgetve zárt ajtók mögött álltak, mivel a szoba túl zajos volt.",닫힌 문 뒤에 (dathin mun dwie),이사회 구성원들은 비밀 유지를 위해 비공개 회의에서 그 문제에 대해 논의했습니다.
being bouncing off the walls,excited and full of nervous energy,The kids were [[bouncing off the walls]] after eating too much candy,The rubber ball kept [[bouncing off the walls]] in the small room,The kids were bouncing off the walls after eating too much candy,The rubber ball kept bouncing off the walls in the small room,bouncing off the walls,A gumilabda pattogva ugrált a falakról a kis szobában.,벽에 튕기는 것,아이들은 너무 많은 사탕을 먹은 후 벽을 튀기 시작했다.
bend over backwards,do all in one's power (usually to achieve something or accommodate somebody),I always [[bend over backwards for them]] to make sure they're happy,"During the yoga class, we had to [[bend over backwards for them]] to demonstrate the pose",I always bend over backwards for them to make sure they're happy,"During the yoga class, we had to bend over backwards for them to demonstrate the pose",bend over backwards for them,"A jógaórában hátra kellett hajolnunk, hogy bemutassák a pózt.",그들을 위해 열심히 노력하다.,나는 그들이 행복하도록 항상 열심히 노력합니다.
bent out of shape,to become angry.,He [[got bent out of shape]] when he found out his favorite band was sold out,The metal rod [[got bent out of shape]] after the car accident,He got bent out of shape when he found out his favorite band was sold out,The metal rod got bent out of shape after the car accident,got bent out of shape,Az autóbaleset után a fémrúd eldeformálódott.,몹시 화가 났다.,그는 그의 좋아하는 밴드가 매진되었다는 것을 알게 되자 화가 났다.
bent your ears,to talk to someone for a very long time about something boring,The speaker [[bent their ears]] with his captivating stories,The strong wind [[bent their ears]] as they walked through the storm,The speaker bent their ears with his captivating stories,The strong wind bent their ears as they walked through the storm,bent their ears,"Az erős szél meghajlította a fülüket, amikor átvonultak az esőviharban.",그들의 귀를 굽혔다.,연설자는 매혹적인 이야기로 청중의 귀를 굽혔다.
bet on the wrong horse,support a person or thing that ultimately fails,[[She bet on the wrong horse]] when she chose to invest in that failing company,"At the racetrack, [[she bet on the wrong horse]] and lost her money",She bet on the wrong horse when she chose to invest in that failing company,"At the racetrack, she bet on the wrong horse and lost her money",She bet on the wrong horse,A versenypályán rossz lóra tett fogadást és elvesztette a pénzét.,그녀는 잘못된 말에 돈을 걸었다.,그녀는 그 실패한 회사에 투자하기로 선택함으로써 잘못된 선택을 했다.
between a rock and a hard place,having two very bad choices,He was [[caught between a rock and a hard place]] when he had to choose between his job and his family,"While hiking, she found herself [[caught between a rock and a hard place]] in a narrow passage",He was caught between a rock and a hard place when he had to choose between his job and his family,"While hiking, she found herself caught between a rock and a hard place in a narrow passage",caught between a rock and a hard place,"Miközben túrázott, egy szűk folyosón egy szikla és egy nehéz helyzet között találta magát.",바위와 어려운 곳 사이에 갇혀 있다.,그는 일과 가족 사이에서 선택해야 했을 때 곤란한 상황에 처했다.
between you and me,a secret to be kept between two people,"[[Between you and me, there's a secret]] that I can't share with anyone else","He placed a mysterious box [[between you and me, there's a secret]] hidden inside it","Between you and me, there's a secret that I can't share with anyone else","He placed a mysterious box between you and me, there's a secret hidden inside it","Between you and me, there's a secret","Egy rejtélyes dobozt helyezett el közénk, van benne egy titok.",당신과 나 사이에는 비밀이 있어요.,당신과 나 사이에는 다른 사람들과 공유할 수 없는 비밀이 있어요.
beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.",The psychic claimed [[she looked beyond the veil]] and communicated with spirits,"Standing in front of the window, [[she looked beyond the veil]] and saw the beautiful garden",The psychic claimed she looked beyond the veil and communicated with spirits,"Standing in front of the window, she looked beyond the veil and saw the beautiful garden",she looked beyond the veil,"Az ablak előtt állva, átlátott a fátylon és meglátta a gyönyörű kertet.",그녀는 장막 너머를 바라봤다.,영매력자는 장막 너머를 바라보고 영혼들과 소통했다고 주장했다.
big brother,A large organization or government agency that tries to control all aspects of human life and society.,"With the new surveillance system, we felt like we were being [[watched by big brother]]","As the younger sibling, she was always [[watched by big brother]] during their childhood","With the new surveillance system, we felt like we were being watched by big brother","As the younger sibling, she was always watched by big brother during their childhood",watched by big brother,"Mint a fiatalabb testvér, mindig nagytestvér figyelt rá gyermekkorukban.",형이 지켜보고 있었다.,새로운 감시 시스템으로 우리는 큰 형님에게 감시당하는 것 같았습니다.
big cheese,to be an important and successful individual,"In the company, he's [[the big cheese]] and everyone respects him","At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds","In the company, he's the big cheese and everyone respects him","At the cheese festival, they displayed the big cheese weighing over 100 pounds",the big cheese,A sajtfesztiválon kiállították a több mint 100 fontos nagy sajtot.,큰 치즈,그 회사에서 그는 대머리이며 모두가 그를 존경합니다.
big gun,a very powerful individual,"To solve the complex problem, we had [[to bring in the big gun]] from the head office","To defend the fort, they had [[to bring in the big gun]] from the armory","To solve the complex problem, we had to bring in the big gun from the head office","To defend the fort, they had to bring in the big gun from the armory",to bring in the big gun,Az erőd védelméhez be kellett hozniuk a nagy ágyút az fegyvertárból.,큰 포대를 불러들이다.,복잡한 문제를 해결하기 위해 본사에서 대규모 인력을 동원해야 했습니다.
big mouth,someone who talks too much,"He can't keep a secret, he [[has a big mouth]]",The hippopotamus [[has a big mouth]] to consume large amounts of food,"He can't keep a secret, he has a big mouth",The hippopotamus has a big mouth to consume large amounts of food,has a big mouth,Az orrszarvú nagy szája nagy mennyiségű élelem elfogyasztására szolgál.,큰 입이 있습니다.,"그는 비밀을 지키지 못해, 입이 크다."
