idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt,p_a_ko_gpt
bite head off,overreact in an angry or harsh way,She was so angry that she [[bit his head off]] when he tried to explain,The snake [[bit his head off]] when he got too close to its nest,She was so angry that she bit his head off when he tried to explain,The snake bit his head off when he got too close to its nest,bit his head off,"A kígyó leharapta a fejét, amikor túl közel ment a fészkéhez.",그의 머리를 물어뜯었다.
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage","By accepting too many projects at once, [[he bit off more than he could chew]]",[[He bit off more than he could chew]] when he tried to eat the whole sandwich in one bite,"By accepting too many projects at once, he bit off more than he could chew",He bit off more than he could chew when he tried to eat the whole sandwich in one bite,he bit off more than he could chew,"Túl nagy falatot vett a szájába, amikor egyszerre akarta lenyelni az egész szendvicset.",그는 먹을 수 있는 양보다 더 큰 것을 먹으려고 했다.
bite the hand that feed,to turn against someone who has been a benefactor in the past,"By criticizing her mentor, she [[bit the hand that fed]] her",The untrained dog [[bit the hand that fed]] him,"By criticizing her mentor, she bit the hand that fed her",The untrained dog bit the hand that fed him,bit the hand that fed,"Az edzetlen kutya megharapta azt a kezet, amelyik etette őt.",먹이를 주는 손을 물다.
bits and pieces,miscellaneous small objects,"After the meeting, [[we gathered the bits and pieces]] of information to create a report","Following the vase's shattering, [[we gathered the bits and pieces]] from the floor","After the meeting, we gathered the bits and pieces of information to create a report","Following the vase's shattering, we gathered the bits and pieces from the floor",we gathered the bits and pieces,A váza összetörése után összeszedtük a darabokat a padlóról.,우리는 작은 조각들을 모았습니다.
bitter medicine,something difficult to accept,The harsh criticism was [[a dose of bitter medicine]] that helped him improve,The doctor prescribed [[a dose of bitter medicine]] to treat his illness,The harsh criticism was a dose of bitter medicine that helped him improve,The doctor prescribed a dose of bitter medicine to treat his illness,a dose of bitter medicine,Az orvos keserű gyógyszert írt fel a betegségének kezelésére.,쓴 약의 용량
bitter pill,something unpleasant to be endured,He had [[to swallow a bitter pill]] when he realized he couldn't afford his dream car,The medicine was so awful that she had [[to swallow a bitter pill]],He had to swallow a bitter pill when he realized he couldn't afford his dream car,The medicine was so awful that she had to swallow a bitter pill,to swallow a bitter pill,"Az orvosság olyan szörnyű volt, hogy keserű pirulát kellett lenyelnie.",쓴 약을 삼키다.
black and blue,"hurt, either bodily, emotionally or psychologically","After the harsh criticism, his ego [[was bruised black and blue]]",He fell off his bike and [[was bruised black and blue]] all over his body,"After the harsh criticism, his ego was bruised black and blue",He fell off his bike and was bruised black and blue all over his body,was bruised black and blue,Leesett a biciklijéről és kékre-zöldre volt ütve az egész teste.,검은색과 푸른색으로 멍이 들었다.
black book,a book containing a list of secret contacts,"After betraying his trust, she [[was found in the black book]] of his memories",The old photograph [[was found in the black book]] on the dusty shelf,"After betraying his trust, she was found in the black book of his memories",The old photograph was found in the black book on the dusty shelf,was found in the black book,Az régi fotó a poros polcon található fekete könyvben volt megtalálva.,검은 책에서 발견되었습니다.
black hole,a place in which things are lost never to be seen again,"The inefficient department created [[a black hole in the system]], draining resources",Scientists discovered [[a black hole in the system]] while observing the galaxy,"The inefficient department created a black hole in the system, draining resources",Scientists discovered a black hole in the system while observing the galaxy,a black hole in the system,"A tudósok felfedeztek egy fekete lyukat a rendszerben, miközben megfigyelték a galaxist.",시스템 내의 블랙홀
black sheep,a disgrace,"Despite his successful siblings, John's unconventional career choice made him [[the black sheep in their midst]]","Among the white ones, there was [[the black sheep in their midst]] grazing in the field","Despite his successful siblings, John's unconventional career choice made him the black sheep in their midst","Among the white ones, there was the black sheep in their midst grazing in the field",the black sheep in their midst,A fehérek között legelészett a fekete bárány.,그들 사이의 검은 양
blazing row,a very angry argument,The couple next door [[had a blazing row]] over their finances,The firefighters [[had a blazing row]] of flames to extinguish,The couple next door had a blazing row over their finances,The firefighters had a blazing row of flames to extinguish,had a blazing row,A tűzoltóknak egy lángoló sorozatot kellett eloltaniuk.,"""had a blazing row"" in Korean is ""격렬한 말다툼을 했다."""
blind as a bat,unconscious to something,"Without his glasses, he's [[as blind as a bat]] and can't see anything","The cave-dwelling creature was [[as blind as a bat]], relying on echolocation to navigate","Without his glasses, he's as blind as a bat and can't see anything","The cave-dwelling creature was as blind as a bat, relying on echolocation to navigate",as blind as a bat,"A barlanglakó lény olyan vak volt, mint egy denevér, echolokációra támaszkodott a navigáláshoz.",박쥐처럼 맹인이다.
