idiom_set,idiom_EPIE,meaning_EPIE,example_EPIE,tag_EPIE,idiom_dictionary,meaning_dictionary,example_dictionary,idiom_bookcorpus,meaning_bookcorpus
"frozenset({'shoot', 'hip'})",,,,,shoot from the hip,"speak directly or bluntly, without caring for consequences","Even if you don't agree with your boss' ideas, don't shoot from the hip. It won't augur well for your growth.",,
"frozenset({'out', 'come', 'swing'})",,,,,come out swinging,be confrontational,The government came out swinging against the oppositions charges of corruption during the debate.,,
"frozenset({'extra', 'mile', 'go'})",,,,,go the extra mile,to make an extra effort,"When it comes to weaker students, the teacher goes the extra mile to help them understand.",,
"frozenset({'run', 'fume'})",,,,,running on fumes,to continue doing something even when you have no energy left,"After two nights of continuous work, I'm running on fumes today.",,
"frozenset({'out', 'someon', 'sell'})",,,,,sell someone out,to betray someone,"The company had put a lot of trust on him, but he sold them out by leaking confidential information to the competitors.",,
"frozenset({'care', 'less'})",,,,,couldn't care less,total lack of interest in something,"I have heard that my ex is going through another break-up, but I couldn't care less.",,
"frozenset({'away', 'blow'})",,,,,blow away,impress someone very much,This new has has such an interesting story and an amazing ending that it just blew me away.,,
"frozenset({'pink', 'tickl'})",,,,,tickled pink,excited and happy,His wife was tickled pink when he sent her flowers and gifts at work for no reason.,,
"frozenset({'let', 'fall', 'chip', 'may'})",,,,,let the chips fall where they may,"let something happen, no matter what happens after that","Honesty demands that you tell the truth about what happened, and let the chips fall where they may.",,
frozenset({'stthrow'}),,,,,stone's throw,a short distance,His workplace is a stone's throw away from his home.,,
"frozenset({'hit', 'book'})",,,,,hit the books,to study very hard,"I have an exam tomorrow, I need to hit the books tonight.",,
frozenset({'moon'}),,,,,over the moon,extremely pleased or happy,Judy was over the moon when Tim proposed to her.,,
"frozenset({'shoulder', 'chip'})",,,,,chip on shoulder,holding a grudge or grievance,He's always picking up fights with everyone. He seems to have a chip on his shoulder.,,
"frozenset({'small', 'world'})",,,,,it's a small world,meeting someone not expected to be at a certain place,"I had no contact with him since school, and I bumped into him at a friend's party! It's a small world.",,
"frozenset({'rock', 'hard', 'between', 'place'})",,,,,between a rock and a hard place,having two very bad choices,I hate my job but cannot quit owing to my economic condition. I'm stuck between a rock and a hard place,,
"frozenset({'chase', 'cut'})",,,,,cut to the chase,come to the point,We haven't got all day for this discussion. Let's cut to the chase.,,
"frozenset({'pig', 'fli'})",,,,,when pigs fly,something that will never happen,"Her crazy mother said that being so lazy, Megan is going to be rich one day for sure and without any hard working job. Come on, when pigs fly!",,
"frozenset({'set', 'way'})",,,,,set in ways,leading a fixed lifestyle,People tend to get set in their ways as they grow older.,,
"frozenset({'thing', 'one'})",,,,,"if it's not one thing, it's the other",everything is going wrong,"It's such a bad day today. If it's not one thing, it's the other!",,
"frozenset({'until', 'come', 'cow', 'home'})",,,,,until the cows come home,for a very long time,"We can keep on arguing about this till the cows come home, but it won't solve anything.",,
frozenset({'eat'}),,,,,you are what you eat,"if you eat good food you will be healthy, if you eat bad food you will be unhealthy","To stay healthy, it's best to keep off junk food. You are what you eat.",,
"frozenset({'mile', 'miss', 'good'})",,,,,a miss is as good as a mile,"This phrase points to the fact that regardless of how badly (or not) someone missed the target, it is a miss after all.","Although they scored the last goal, that one miss was as good as a mile.",,
"frozenset({'danger', 'knowledg', 'thing', 'littl'})",,,,,a little knowledge is a dangerous thing,gaining some knowledge can make a person believe that they have now become experts in that field,"He read about the procedure online and thought he doesn't need the doctor to get it done. Now he will have to stay in the hospital far more than he might have in the first place, a little knowledge is indeed a dangerous thing.",,
"frozenset({'moss', 'gather', 'roll', 'stone'})",,,,,a rolling stone gathers no moss,it is difficult for a wanderer to be able to flourish,It was time for you to settle down at least five years back. You should find a place that you like and build a home there because a rolling stone gathers no moss.,,
"frozenset({'earn', 'penni', 'save'})",,,,,a penny saved is a penny earned,This phrase advises people to be cautious of their money and have savings.,Now that he has financial difficulties he will realize that a penny saved is as good as a penny earned.,,
"frozenset({'paddl', 'cano'})",,,,,paddle own canoe,To be able to act without having to depend on anyone.,He feels he can paddle his own canoe now so wants to move out of his parent's house.,,
"frozenset({'out', 'go'})",,,,,go out with,have a romantic relationship with someone,Sue and Rob had been going out with each other for five years before they finally decided to get married.,,
"frozenset({'lie', 'low'})",,,,,lie low,"To go out of sight, usually after having done something bad.",Someone else in his position would lie low after having done what he did!,,
"frozenset({'hissi', 'fit'})",,,,,hissy fit,To throw a tantrum.,A hissy fit is not justified just to get someone to listen to you. You have to be more mature than that.,,
"frozenset({'have', 'hot'})",,,,,have the hots for,be very sexually attracted to someone,My friend has the hots for the new girl who has recently joined his team.,,
"frozenset({'steadi', 'go'})",,,,,go steady,have a romantic relationship with someone,Kate and Jack have been going steady with each other for the past few years now.,,
"frozenset({'lovey', 'dovey'})",,,,,lovey-dovey,showing lot of love or affection,"We had gone for lunch with our boss and his wife, but it was pretty awkward with a couple getting lovey-dovey a couple of tables away from us.",,
"frozenset({'out', 'off', 'wear'})",,,,,"wear off, out",Something that deteriorates or changes by wearing,That garment is completely worn out. Why don't you just throw it away?,,
frozenset({'smitten'}),,,,,smitten with,suddenly start to like or love someone very much,He is completely smitten with love for her.,,
"frozenset({'wish', 'would', 'ride', 'beggar', 'hors'})",,,,,"if wishes were horses, beggars would ride",To wish for things does not yield to anything.,"She told me she wanted to become Miss Universe and I said, ""If wishes were horses, beggars would ride"". How else was I to react to such an absurd thing?",,
"frozenset({'ninep', 'nice'})",,,,,as nice as ninepence,A place that is very well organized.,I was taken aback when I saw that this place is as nice as ninepence.,,
"frozenset({'hat', 'eat'})",,,,,i'll eat my hat,This is an expression of not believing something very strongly.,If you are really able to climb that 8 feet wall by yourself then I'll eat my hat.,,
