idiom,meaning,example,source,dupl,idiom_set,idiom_EPIE,meaning_EPIE,example_EPIE,tag_EPIE,idiom_dictionary,meaning_dictionary,example_dictionary,idiom_bookcorpus,meaning_bookcorpus
get on board,agree to participate in or support something.,"A business relies on a driving personality taking it forward , and the confusion about getting somebody on board who is working with you in the business and who is putting money board , is that they feel to some extent , proprietorial to that business , and you can find that that will result in those individuals who have done that tearing apart the business because they are trying to go in different directions .",EPIE,0,"frozenset({'board', 'get'})",get on board,agree to participate in or support something.,"A business relies on a driving personality taking it forward , and the confusion about getting somebody on board who is working with you in the business and who is putting money board , is that they feel to some extent , proprietorial to that business , and you can find that that will result in those individuals who have done that tearing apart the business because they are trying to go in different directions .",O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
get in [pron] hair,annoy or bother someone.,"I tell ya , so I think we got out , we got our hair done and she wanted to go down to the mission so the hairdresser phoned a different taxi , we have this one up here , he took her down from there to the mission , cos he went down the back ways , you know ,",EPIE,0,"frozenset({'get', 'hair'})",get in [pron] hair,annoy or bother someone.,"I tell ya , so I think we got out , we got our hair done and she wanted to go down to the mission so the hairdresser phoned a different taxi , we have this one up here , he took her down from there to the mission , cos he went down the back ways , you know ,",O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
get a life,stop wasting time on trivial matters and focus on more important things.,"So if you cry babies would stop moaning and get a life and support the greatest , most wonderfully gifted team in the world instead of worrying about petty , shitty sides like Leeds then you 'd be able to watch them on tv all the time .",EPIE,0,"frozenset({'get', 'life'})",get a life,stop wasting time on trivial matters and focus on more important things.,"So if you cry babies would stop moaning and get a life and support the greatest , most wonderfully gifted team in the world instead of worrying about petty , shitty sides like Leeds then you 'd be able to watch them on tv all the time .",O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
get [pron] sack,to be fired from a job.,"‘ I have never had any intention of resigning , or getting the sack for that matter , even though I 'm bottom of the league and 57-years-old .",EPIE,0,"frozenset({'get', 'sack'})",get [pron] sack,to be fired from a job.,"‘ I have never had any intention of resigning , or getting the sack for that matter , even though I 'm bottom of the league and 57-years-old .",O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O,,,,,
gender bender,someone who does not conform to traditional gender roles.,"From Frankie Goes to Hollywood — who presented the image of two leather queens — through Marc Almond — in the image of a northern gay boy — through Bronski Beat — presented as ‘ out ’ political gays — to the rash of transvestite and transsexual ‘ gender bender ’ stylists like Marilyn and Boy George , sexual divergence has crossed over into the mainstream in a psychological paradigm that services perfectly pop 's current industrial situation .",EPIE,0,"frozenset({'gender', 'bender'})",gender bender,someone who does not conform to traditional gender roles.,"From Frankie Goes to Hollywood — who presented the image of two leather queens — through Marc Almond — in the image of a northern gay boy — through Bronski Beat — presented as ‘ out ’ political gays — to the rash of transvestite and transsexual ‘ gender bender ’ stylists like Marilyn and Boy George , sexual divergence has crossed over into the mainstream in a psychological paradigm that services perfectly pop 's current industrial situation .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
gas up,to fill up a vehicle with fuel.,"British Gas up four at two one four point five , British Telecom were down four at two hundred and sixty four , Goodhead Publishing Group unchanged at fifty-eight , Metal Box up one thousand two hundred , Morland Brewers unchanged at two hundred and seventy five and Oxford Instruments er ended the day at two three four , having er not changed their position .",EPIE,0,"frozenset({'up', 'gas'})",gas up,to fill up a vehicle with fuel.,"British Gas up four at two one four point five , British Telecom were down four at two hundred and sixty four , Goodhead Publishing Group unchanged at fifty-eight , Metal Box up one thousand two hundred , Morland Brewers unchanged at two hundred and seventy five and Oxford Instruments er ended the day at two three four , having er not changed their position .",O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
gain ground,"make progress, especially in a difficult situation.","The universities there seemed models for British ones , and gradually the feeling gained ground that Germany was the intellectual centre of Europe — in science , in philosophy , in classical studies , in theology and in history Germans were making the running .",EPIE,0,"frozenset({'gain', 'ground'})",gain ground,"make progress, especially in a difficult situation.","The universities there seemed models for British ones , and gradually the feeling gained ground that Germany was the intellectual centre of Europe — in science , in philosophy , in classical studies , in theology and in history Germans were making the running .",O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
forbidden fruit,something that is attractive because it is not allowed or is off limits.,"REACTION was muted in Dublin yesterday when the Sunday Times published the first extracts from Forbidden Fruit , the book detailing Annie Murphy 's affair with the then Bishop of Kerry , Dr Eamon Casey .",EPIE,0,"frozenset({'forbidden', 'fruit'})",forbidden fruit,something that is attractive because it is not allowed or is off limits.,"REACTION was muted in Dublin yesterday when the Sunday Times published the first extracts from Forbidden Fruit , the book detailing Annie Murphy 's affair with the then Bishop of Kerry , Dr Eamon Casey .",O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O,,,,,
for love nor money,"no matter how hard one tries, it is impossible to obtain something.","All of which is good news for those who travel back here year after year , but disappointing for those who find out about Bellagio too late and can not book it for love nor money …",EPIE,0,"frozenset({'love', 'money'})",for love nor money,"no matter how hard one tries, it is impossible to obtain something.","All of which is good news for those who travel back here year after year , but disappointing for those who find out about Bellagio too late and can not book it for love nor money …",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O,,,,,
for a song,for a very low price.,"After Arnold died , Nancy , feeling more strongly than ever what she had always known , that he was the only man she had loved , came to live permanently in the house where he had always seemed happiest , a piece of property he had picked up for a song in the sixties from Barone Dulcibene 's father-in-law , old Count Umberto Baderini .",EPIE,0,frozenset({'song'}),for a song,for a very low price.,"After Arnold died , Nancy , feeling more strongly than ever what she had always known , that he was the only man she had loved , came to live permanently in the house where he had always seemed happiest , a piece of property he had picked up for a song in the sixties from Barone Dulcibene 's father-in-law , old Count Umberto Baderini .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O,,,,,
flotsam and jetsam,the random objects or debris that remain after a shipwreck or other disaster.,"His sympathy with the antiauratic surrealists , his proclivity for finding aesthetic signifiers among the flotsam and jetsam of every-day life , his refusal to consider art as of another order of life , and his affirmation of the political nature of the aesthetic are again also integral to the postmodernist programme .",EPIE,0,"frozenset({'flotsam', 'jetsam'})",flotsam and jetsam,the random objects or debris that remain after a shipwreck or other disaster.,"His sympathy with the antiauratic surrealists , his proclivity for finding aesthetic signifiers among the flotsam and jetsam of every-day life , his refusal to consider art as of another order of life , and his affirmation of the political nature of the aesthetic are again also integral to the postmodernist programme .",O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
