idiom,meaning
先斩后奏,empowered to kill first then report later; execute the criminal first and report to the emperor afterwards - act first and report afterwards
先声夺人,overawe others by displaying one's strength; forestall one's opponent by a show of strength
先入之见,prejudice; a preconceived idea
先入为主,first impressions are strongest; be prejudiced
先务之急,a matter of great urgency; first things first
光芒万丈,shining with boundless radiance; brilliant
光明磊落,frank and forthright; on the up-and-up
光明正大,fair and square; open and aboveboard
光复旧物,recover lost territory; 
光天化日,broad daylight; the light of the day
光怪陆离,bizarre and motley; fantastic and varicolored
光宗耀祖,bring honor to one's ancestors; make one's ancestors illustrious
光彩夺目,so bright that it dazzles the eye; dazzlingly radiant
光阴似箭,how time flies; time flies like an arrow
克敌制胜,conquer the enemy; gain a victory over the enemy
克己奉公,work selflessly for the common good; wholehearted devotion to public duty
克勤克俭,practise diligence and economy; diligent and economical
兔子不吃窝边草,a rabbit doesn't eat the grass near its hole; a villain doesn't harm his next-door neighbors
兔子尾巴长不了,won't last long; the tail of a rabbit can't be long
兔死狗烹,the hounds are killed for food once all the hares are bagged; slay the lackeys when they have outlived their usefulness
兔死狐悲,like mourns over the death of like; the fox mourns over the death of the hare
兢兢业业,be cautious and attentive; with assiduity
入不敷出,unable to make ends meet; live beyond one's means
入木三分,keen; profound
入国问俗,"learn about customs and habits of the country one goes to; on entering a country, inquire about its customs"
入境问禁,on entering a country inquire about the prohibitions; ask about taboos and bans upon arrival in a foreign country
入情入理,perfectly logical and reasonable; fair and sensible
入乡随俗,when in Rome do as the Romans do; 
内忧外患,domestic trouble and foreign invasion; 
内外交困,be in dire straits at home and abroad; on the horns of a dilemma in internal and external affairs
全力以赴,strain every nerve; tooth and nail
全军覆没,be completely wiped out; total destruction of an army
全心全意,complete devotion; whole-heartedly
全神贯注,be absorbed in; with all one's soul
两败俱伤,both sides suffer; internecine
两面讨好,try to keep the favor of both sides in a dispute; run with the hare and hunt with the hounds
两面三刀,double-faced tactics; double-dealing
两全其美,serve a twofold purpose; keep the good points of both
两小无猜,be innocent playmates; 
两袖清风,have clean hands; remain uncorrupted
两厢情愿,both parties are willing; both parties agree of free will
八面玲珑,be a good mixer; all things to all men
八面威风,an awe-inspiring reputation extending in every direction; 
八仙过海,try to outshine each other; vie with each other
公报私仇,avenge a personal wrong in the name of public interests; abuse public power to retaliate on a personal enemy
公诸同好,share enjoyment with those of the same taste; let others with the same taste share
公事公办,business is business; not let personal considerations interfere with one's execution of public duty
公说公有理,both parties claim to be in the right; each says he is right
公而忘私,selfless; so devoted to public service as to forget one's own interests
六亲不认,turn one's back on ones own flesh and blood; refuse to have anything to do with all one's relatives
六神无主,"in a state of utter stupefaction; ""all six vital organs failing to function"""
兵不血刃,win without using weapons or losing a life; achieve victory without fighting
兵不厌诈,all is fair in war; there can never be too much deception in war
兵连祸结,war-ridden; continuous wars and turmoil
兵临城下,the city is under siege; the attacking army has reached the city gates
兵贵神速,speed is precious in war; speed is a soldier's asset
兵荒马乱,turmoil and chaos of war; be completely in war
兵强马壮,well-trained and powerful army; strong soldiers and sturdy horses
兵戎相见,resort to arms; open hostilities
其貌不扬,his appearance is by no means imposing; 
其乐无穷,it is a great joy to; an endless enjoyment
其势汹汹,look threatening; furiously
其味无穷,a lasting pleasant taste; have a boundless good flavor
具体而微,miniature; small but complete
兼听则明,listen to both sides and you will be enlightened; heed only one side and you will be benighted
兼收并蓄,swallow anything and everything; all-embracing
兼容并包,catholic; all-inclusive
再接再厉,intensify one's efforts; continue to exert oneself
再衰三竭,be nearing exhaustion; be weakened and demoralized
再三再四,time and again; repeatedly
冒名顶替,take another's place by assuming his name; 
冒天下之大不韪,be against the world; fly in the face of the will of the people
冠冕堂皇,impressive looking; ostentatious
冤家路窄,inevitable confrontation; one can't avoid one's enemy
冥思苦想,cudgel one's brains; think long and hard
冥顽不灵,stupid; dull
冰冻三尺,the trouble has been brewing for quite some time; one cold day does not make the river freeze three feet thick
冰炭不相容,as incompatible as ice and hot coals; 
冰天雪地,a world of ice and snow; 
冰消瓦解,disintegrate; vanish from the scene
冷嘲热讽,sarcasm; give somebody a dig
冷若冰霜,as cold as ice; be made of ice
冷眼旁观,stand aloof and look on with cold indifference; look on with a critical eye
冷言冷语,mocking words; cold words
凡事预则立,preparedness ensures success and unpreparedness spells failure; 
凯旋归来,return with flying colors; return with drums beating and banners flying
凶多吉少,bode ill rather than well; be fraught with grim possibilities
凶相毕露,bare one's fangs; show one's teeth
凶神恶煞,fiends; devils
出没无常,appear unpredictably; inconstantly
出谋划策,give counsel; mastermind a scheme
出头露面,in the limelight; given to publicity
出类拔萃,tower above the rest; place oneself on record
出乖露丑,expose one's weak points; make an exhibition of oneself
出口成章,make a polished impromptu speech; talk with adroit phrases
出其不意,take somebody by surprise; all of a sudden
出奇制胜,win by novelty; catch a weasel asleep
出神入化,reach the acme of perfection; extremely miraculous
出生入死,through thick and thin; regardless of personal sacrifices
